stock,type,type_idx
3027,sample,32
1618,sample,32
1460,sample,32
1614,sample,32
1524,sample,32
1582,sample,32
5871,sample,32
1466,sample,32
2349,sample,32
2506,sample,32
1473,sample,32
3040,sample,32
3308,sample,32
8081,sample,32
1310,sample,32
2489,sample,32
2002,sample,32
911608,sample,32
2101,sample,32
3380,sample,32
4906,sample,32
2103,sample,32
9902,sample,32
2443,sample,32
5469,sample,32
2399,sample,32
6133,sample,32
5203,sample,32
1437,sample,32
3532,sample,32
1103,sample,32
6289,sample,32
2321,sample,32
1521,sample,32
1517,sample,32
9924,sample,32
5533,sample,32
1453,sample,32
4526,sample,32
1533,sample,32
3705,sample,32
3055,sample,32
1319,sample,32
9917,sample,32
1446,sample,32
2538,sample,32
3046,sample,32
1452,sample,32
2514,sample,32
1537,sample,32
2412,sample,32
2423,sample,32
3033,sample,32
2458,sample,32
2889,sample,32
2395,sample,32
3052,sample,32
4746,sample,32
2006,sample,32
2419,sample,32
1735,sample,32
2515,sample,32
2429,sample,32
2618,sample,32
01007T,sample,32
2477,sample,32
2485,sample,32
3296,sample,32
3014,sample,32
2027,sample,32
2023,sample,32
1539,sample,32
3004,sample,32
1417,sample,32
2603,sample,32
1538,sample,32
2495,sample,32
2002A,sample,32
5534,sample,32
3045,sample,32
2434,sample,32
4532,sample,32
3002,sample,32
3383,sample,32
2883,sample,32
3257,sample,32
2353,sample,32
1725,sample,32
911868,sample,32
2881,sample,32
3130,sample,32
3041,sample,32
3029,sample,32
2542,sample,32
5525,sample,32
5608,sample,32
8016,sample,32
5484,sample,32
1475,sample,32
2441,sample,32